	community	roi	community_id	roi_origindex	roi_index(on17networkmask)
1	Vis	2	0	2	1
2	Vis	4	0	4	2
3	Vis	6	0	6	3
4	Vis	9	0	9	4
5	Vis	10	0	10	5
6	Vis	11	0	11	6
7	Vis	12	0	12	7
8	Vis	14	0	14	8
9	Vis	15	0	15	9
10	Vis	17	0	17	10
11	Vis	18	0	18	11
12	Vis	24	0	24	12
13	Vis	27	0	27	13
14	Vis	28	0	28	14
15	Vis	29	0	29	15
16	Vis	30	0	30	16
17	Vis	33	0	33	17
18	Vis	34	0	34	18
19	Vis	36	0	36	19
20	Vis	39	0	39	20
21	Vis	40	0	40	21
22	Vis	42	0	42	22
23	Vis	44	0	44	23
24	Vis	45	0	45	24
25	Vis	49	0	49	25
26	Vis	53	0	53	26
27	Vis	54	0	54	27
28	Vis	58	0	58	28
29	Vis	64	0	64	29
30	Vis	65	0	65	30
31	Vis	68	0	68	31
32	Vis	70	0	70	32
33	Vis	72	0	72	33
34	Vis	77	0	77	34
35	Vis	8	0	8	35
36	Vis	13	0	13	36
37	Vis	16	0	16	37
38	Vis	19	0	19	38
39	Vis	22	0	22	39
40	Vis	23	0	23	40
41	Vis	25	0	25	41
42	Vis	26	0	26	42
43	Vis	31	0	31	43
44	Vis	32	0	32	44
45	Vis	35	0	35	45
46	Vis	37	0	37	46
47	Vis	38	0	38	47
48	Vis	43	0	43	48
49	Vis	46	0	46	49
50	Vis	47	0	47	50
51	Vis	50	0	50	51
52	Vis	51	0	51	52
53	Vis	52	0	52	53
54	Vis	56	0	56	54
55	Vis	57	0	57	55
56	Vis	60	0	60	56
57	Vis	62	0	62	57
58	Vis	66	0	66	58
59	Vis	67	0	67	59
60	Vis	69	0	69	60
61	Vis	71	0	71	61
62	Vis	73	0	73	62
63	Vis	75	0	75	63
64	Vis	76	0	76	64
65	Vis	78	0	78	65
66	Vis	79	0	79	66
67	SomMot	42	1	123	67
68	SomMot	44	1	125	68
69	SomMot	47	1	128	69
70	SomMot	48	1	129	70
71	SomMot	49	1	130	71
72	SomMot	50	1	131	72
73	SomMot	51	1	132	73
74	SomMot	52	1	133	74
75	SomMot	54	1	135	75
76	SomMot	55	1	136	76
77	SomMot	56	1	137	77
78	SomMot	57	1	138	78
79	SomMot	58	1	139	79
80	SomMot	60	1	141	80
81	SomMot	61	1	142	81
82	SomMot	62	1	143	82
83	SomMot	64	1	145	83
84	SomMot	65	1	146	84
85	SomMot	66	1	147	85
86	SomMot	67	1	148	86
87	SomMot	68	1	149	87
88	SomMot	69	1	150	88
89	SomMot	70	1	151	89
90	SomMot	71	1	152	90
91	SomMot	72	1	153	91
92	SomMot	73	1	154	92
93	SomMot	74	1	155	93
94	SomMot	75	1	156	94
95	SomMot	76	1	157	95
96	SomMot	77	1	158	96
97	SomMot	78	1	159	97
98	SomMot	80	1	161	98
99	SomMot	81	1	162	99
100	SomMot	82	1	163	100
101	SomMot	84	1	165	101
102	SomMot	85	1	166	102
103	SomMot	86	1	167	103
104	SomMot	87	1	168	104
105	SomMot	88	1	169	105
106	SomMot	89	1	170	106
107	SomMot	90	1	171	107
108	SomMot	91	1	172	108
109	SomMot	1	1	82	109
110	SomMot	2	1	83	110
111	SalVentAttn	FrOper_6	3	250	111
112	SomMot	3	1	84	112
113	SomMot	4	1	85	113
114	SomMot	5	1	86	114
115	SomMot	6	1	87	115
116	SomMot	8	1	89	116
117	SomMot	9	1	90	117
118	SomMot	10	1	91	118
119	SomMot	11	1	92	119
120	SomMot	12	1	93	120
121	SomMot	14	1	95	121
122	SomMot	15	1	96	122
123	SomMot	16	1	97	123
124	SomMot	17	1	98	124
125	SomMot	18	1	99	125
126	SomMot	20	1	101	126
127	SomMot	21	1	102	127
128	SomMot	22	1	103	128
129	SomMot	24	1	105	129
130	SomMot	25	1	106	130
131	SomMot	26	1	107	131
132	SomMot	27	1	108	132
133	SomMot	28	1	109	133
134	SomMot	29	1	110	134
135	SomMot	30	1	111	135
136	SomMot	31	1	112	136
137	SomMot	32	1	113	137
138	SomMot	33	1	114	138
139	SomMot	34	1	115	139
140	SomMot	35	1	116	140
141	SomMot	36	1	117	141
142	SomMot	37	1	118	142
143	SomMot	38	1	119	143
144	SomMot	40	1	121	144
145	SomMot	41	1	122	145
146	SomMot	43	1	124	146
147	SomMot	46	1	127	147
148	Vis	1	0	1	148
149	DorsAttn	Post_1	2	173	149
150	DorsAttn	Post_3	2	175	150
151	Vis	3	0	3	151
152	Vis	7	0	7	152
153	DorsAttn	Post_4	2	176	153
154	DorsAttn	Post_5	2	177	154
155	Vis	21	0	21	155
156	DorsAttn	Post_7	2	179	156
157	DorsAttn	Post_10	2	182	157
158	DorsAttn	Post_11	2	183	158
159	Vis	59	0	59	159
160	Vis	61	0	61	160
161	DorsAttn	Post_12	2	184	161
162	DorsAttn	Post_14	2	186	162
163	Vis	74	0	74	163
164	DorsAttn	Post_17	2	189	164
165	DorsAttn	Post_18	2	190	165
166	Vis	80	0	80	166
167	DorsAttn	Post_20	2	192	167
168	DorsAttn	Post_21	2	193	168
169	DorsAttn	Post_26	2	198	169
170	DorsAttn	Post_27	2	199	170
171	DorsAttn	Post_29	2	201	171
172	DorsAttn	Post_31	2	203	172
173	DorsAttn	Post_33	2	205	173
174	DorsAttn	Post_36	2	208	174
175	DorsAttn	Post_37	2	209	175
176	DorsAttn	Post_38	2	210	176
177	DorsAttn	Post_40	2	212	177
178	DorsAttn	Post_41	2	213	178
179	DorsAttn	Post_42	2	214	179
180	DorsAttn	Post_43	2	215	180
181	DorsAttn	Post_46	2	218	181
182	DorsAttn	Post_8	2	180	182
183	DorsAttn	Post_9	2	181	183
184	DorsAttn	Post_19	2	191	184
185	DorsAttn	Post_22	2	194	185
186	SomMot	39	1	120	186
187	DorsAttn	Post_23	2	195	187
188	DorsAttn	Post_24	2	196	188
189	DorsAttn	Post_28	2	200	189
190	SomMot	45	1	126	190
191	DorsAttn	Post_30	2	202	191
192	DorsAttn	Post_35	2	207	192
193	DorsAttn	Post_39	2	211	193
194	SomMot	59	1	140	194
195	DorsAttn	Post_45	2	217	195
196	DorsAttn	Post_47	2	219	196
197	DorsAttn	Post_48	2	220	197
198	DorsAttn	Post_49	2	221	198
199	DorsAttn	Post_50	2	222	199
200	SomMot	79	1	160	200
201	SomMot	83	1	164	201
202	DorsAttn	FEF_1	2	223	202
203	DorsAttn	FEF_3	2	225	203
204	SomMot	53	1	134	204
205	DorsAttn	FEF_4	2	226	205
206	SomMot	63	1	144	206
207	DorsAttn	FEF_6	2	228	207
208	DorsAttn	FEF_7	2	229	208
209	DorsAttn	PrCv_2	2	231	209
210	DorsAttn	PrCv_4	2	233	210
211	SalVentAttn	ParOper_1	3	234	211
212	SalVentAttn	ParOper_3	3	236	212
213	SalVentAttn	ParOper_4	3	237	213
214	SalVentAttn	ParOper_5	3	238	214
215	SalVentAttn	ParOper_7	3	240	215
216	SalVentAttn	ParOper_8	3	241	216
217	SalVentAttn	ParOper_9	3	242	217
218	SalVentAttn	FrOper_1	3	245	218
219	SalVentAttn	FrOper_2	3	246	219
220	SalVentAttn	FrOper_3	3	247	220
221	SalVentAttn	FrOper_4	3	248	221
222	SalVentAttn	FrOper_8	3	252	222
223	SalVentAttn	FrOper_9	3	253	223
224	SalVentAttn	FrOper_10	3	254	224
225	SalVentAttn	FrOper_11	3	255	225
226	SalVentAttn	FrOper_12	3	256	226
227	SalVentAttn	FrOper_14	3	258	227
228	SalVentAttn	FrOper_15	3	259	228
229	SalVentAttn	FrOper_17	3	261	229
230	SalVentAttn	FrOper_18	3	262	230
231	SalVentAttn	FrOper_19	3	263	231
232	SalVentAttn	FrOper_20	3	264	232
233	SalVentAttn	FrOper_21	3	265	233
234	SalVentAttn	FrOper_22	3	266	234
235	SalVentAttn	FrOper_23	3	267	235
236	SalVentAttn	Med_5	3	274	236
237	SalVentAttn	Med_7	3	276	237
238	SalVentAttn	Med_8	3	277	238
239	SalVentAttn	Med_9	3	278	239
240	SalVentAttn	Med_11	3	280	240
241	SalVentAttn	Med_13	3	282	241
242	SalVentAttn	Med_14	3	283	242
243	SalVentAttn	Med_16	3	285	243
244	SalVentAttn	Med_2	3	271	244
245	SalVentAttn	Med_3	3	272	245
246	SalVentAttn	Med_4	3	273	246
247	SalVentAttn	Med_10	3	279	247
248	SalVentAttn	Med_15	3	284	248
249	SalVentAttn	Med_17	3	286	249
250	SalVentAttn	Med_19	3	288	250
251	SalVentAttn	ParOper_6	3	239	251
