	community	roi	community_id	roi_origindex	roi_index(on17networkmask)
1	Vis	2	0	2	1
2	Vis	4	0	4	2
3	Vis	5	0	5	3
4	Vis	8	0	8	4
5	Vis	3	0	3	5
6	Vis	6	0	6	6
7	Vis	9	0	9	7
8	SomMot	5	1	14	8
9	SomMot	6	1	15	9
10	SomMot	1	1	10	10
11	SomMot	2	1	11	11
12	SomMot	3	1	12	12
13	SomMot	4	1	13	13
14	DorsAttn	Post_1	2	16	14
15	Vis	7	0	7	15
16	DorsAttn	Post_3	2	18	16
17	DorsAttn	Post_2	2	17	17
18	DorsAttn	Post_4	2	19	18
19	DorsAttn	Post_6	2	21	19
20	DorsAttn	FEF_2	2	23	20
21	SalVentAttn	ParOper_1	3	24	21
22	SalVentAttn	FrOper_1	3	25	22
23	SalVentAttn	FrOper_2	3	26	23
24	SalVentAttn	Med_2	3	29	24
25	SalVentAttn	Med_3	3	30	25
26	SalVentAttn	PFCl_1	3	27	26
27	SalVentAttn	Med_1	3	28	27
28	Limbic	OFC_1	4	31	28
29	Limbic	TempPole_1	4	32	29
30	Limbic	TempPole_2	4	33	30
31	Cont	Par_1	5	34	31
32	Cont	PFCl_1	5	35	32
33	DorsAttn	FEF_1	2	22	33
34	Default	PFC_4	6	45	34
35	Cont	pCun_1	5	36	35
36	DorsAttn	Post_5	2	20	36
37	Cont	Cing_1	5	37	37
38	Default	PFC_7	6	48	38
39	Default	PCC_2	6	50	39
40	Default	PFC_3	6	44	40
41	Default	Temp_1	6	38	41
42	Default	Temp_2	6	39	42
43	Default	Temp_4	6	41	43
44	Default	PFC_5	6	46	44
45	Default	PFC_6	6	47	45
46	Default	PFC_1	6	42	46
47	Default	PFC_2	6	43	47
48	Default	PCC_1	6	49	48
49	Vis	1	0	1	49
50	Default	Temp_3	6	40	50
51	Vis	2	0	52	51
52	Vis	4	0	54	52
53	Vis	7	0	57	53
54	Vis	5	0	55	54
55	Vis	6	0	56	55
56	Vis	8	0	58	56
57	SomMot	5	1	63	57
58	SomMot	6	1	64	58
59	SomMot	7	1	65	59
60	SomMot	8	1	66	60
61	SomMot	1	1	59	61
62	SomMot	2	1	60	62
63	SomMot	3	1	61	63
64	SomMot	4	1	62	64
65	Vis	3	0	53	65
66	DorsAttn	Post_1	2	67	66
67	DorsAttn	Post_4	2	70	67
68	DorsAttn	Post_2	2	68	68
69	DorsAttn	Post_5	2	71	69
70	DorsAttn	FEF_2	2	73	70
71	SalVentAttn	TempOccPar_2	3	75	71
72	SalVentAttn	FrOper_1	3	76	72
73	SalVentAttn	Med_1	3	77	73
74	SalVentAttn	Med_2	3	78	74
75	Cont	Par_1	5	81	75
76	Cont	PFCl_3	5	85	76
77	Cont	PFCmp_2	5	88	77
78	Limbic	OFC_1	4	79	78
79	Limbic	TempPole_1	4	80	79
80	DorsAttn	Post_3	2	69	80
81	Cont	PFCl_2	5	84	81
82	DorsAttn	FEF_1	2	72	82
83	Default	Temp_1	6	91	83
84	Cont	Par_2	5	82	84
85	Cont	PFCl_4	5	86	85
86	Cont	PFCl_1	5	83	86
87	Cont	PFCmp_1	5	87	87
88	Cont	PFCmp_3	5	89	88
89	Default	Par_1	6	90	89
90	Default	PFCm_3	6	98	90
91	Default	PCC_2	6	100	91
92	Default	PFCm_1	6	96	92
93	Default	PFCm_2	6	97	93
94	Default	PFCv_1	6	94	94
95	Default	PFCv_2	6	95	95
96	Default	PCC_1	6	99	96
97	Vis	1	0	51	97
98	Default	Temp_2	6	92	98
99	Default	Temp_3	6	93	99
100	SalVentAttn	TempOccPar_1	3	74	100
