	community	roi	community_id	roi_origindex	roi_index(on17networkmask)
1	Vis	2	0	2	1
2	Vis	5	0	5	2
3	Vis	6	0	6	3
4	Vis	8	0	8	4
5	Vis	9	0	9	5
6	Vis	10	0	10	6
7	Vis	12	0	12	7
8	Vis	14	0	14	8
9	Vis	15	0	15	9
10	Vis	20	0	20	10
11	Vis	22	0	22	11
12	Vis	23	0	23	12
13	Vis	24	0	24	13
14	Vis	27	0	27	14
15	Vis	29	0	29	15
16	Vis	30	0	30	16
17	Vis	33	0	33	17
18	Vis	36	0	36	18
19	Vis	37	0	37	19
20	Vis	43	0	43	20
21	Vis	48	0	48	21
22	Vis	49	0	49	22
23	Vis	52	0	52	23
24	Vis	58	0	58	24
25	Vis	59	0	59	25
26	Vis	64	0	64	26
27	Vis	13	0	13	27
28	Vis	17	0	17	28
29	Vis	18	0	18	29
30	Vis	19	0	19	30
31	Vis	21	0	21	31
32	Vis	25	0	25	32
33	Vis	26	0	26	33
34	Vis	28	0	28	34
35	Vis	31	0	31	35
36	Vis	32	0	32	36
37	Vis	34	0	34	37
38	Vis	35	0	35	38
39	Vis	38	0	38	39
40	Vis	39	0	39	40
41	Vis	41	0	41	41
42	Vis	42	0	42	42
43	Vis	44	0	44	43
44	Vis	45	0	45	44
45	Vis	47	0	47	45
46	Vis	50	0	50	46
47	Vis	51	0	51	47
48	Vis	53	0	53	48
49	Vis	54	0	54	49
50	Vis	55	0	55	50
51	Vis	57	0	57	51
52	Vis	60	0	60	52
53	Vis	62	0	62	53
54	Vis	63	0	63	54
55	Vis	65	0	65	55
56	Vis	67	0	67	56
57	SomMot	30	1	97	57
58	SomMot	31	1	98	58
59	SomMot	35	1	102	59
60	SomMot	36	1	103	60
61	SomMot	37	1	104	61
62	SomMot	38	1	105	62
63	SomMot	39	1	106	63
64	SomMot	40	1	107	64
65	SomMot	41	1	108	65
66	SomMot	42	1	109	66
67	SomMot	43	1	110	67
68	SomMot	44	1	111	68
69	SomMot	45	1	112	69
70	SomMot	46	1	113	70
71	SomMot	47	1	114	71
72	SomMot	48	1	115	72
73	SomMot	49	1	116	73
74	SomMot	50	1	117	74
75	SomMot	51	1	118	75
76	SomMot	52	1	119	76
77	SomMot	53	1	120	77
78	SomMot	54	1	121	78
79	SomMot	55	1	122	79
80	SomMot	56	1	123	80
81	SomMot	57	1	124	81
82	SomMot	58	1	125	82
83	SomMot	59	1	126	83
84	SomMot	60	1	127	84
85	SomMot	61	1	128	85
86	SomMot	62	1	129	86
87	SomMot	63	1	130	87
88	SomMot	64	1	131	88
89	SomMot	65	1	132	89
90	SomMot	66	1	133	90
91	SomMot	67	1	134	91
92	SomMot	68	1	135	92
93	SomMot	69	1	136	93
94	SomMot	70	1	137	94
95	SomMot	71	1	138	95
96	SomMot	72	1	139	96
97	SomMot	73	1	140	97
98	SomMot	74	1	141	98
99	SomMot	75	1	142	99
100	SomMot	1	1	68	100
101	SomMot	2	1	69	101
102	SomMot	3	1	70	102
103	SomMot	4	1	71	103
104	SomMot	5	1	72	104
105	SomMot	6	1	73	105
106	SomMot	8	1	75	106
107	SomMot	9	1	76	107
108	SomMot	10	1	77	108
109	SomMot	11	1	78	109
110	SomMot	12	1	79	110
111	SomMot	13	1	80	111
112	SomMot	14	1	81	112
113	SomMot	15	1	82	113
114	SomMot	16	1	83	114
115	SomMot	17	1	84	115
116	SomMot	18	1	85	116
117	SomMot	19	1	86	117
118	SomMot	20	1	87	118
119	SomMot	21	1	88	119
120	SomMot	22	1	89	120
121	SomMot	23	1	90	121
122	SomMot	24	1	91	122
123	SomMot	25	1	92	123
124	SomMot	26	1	93	124
125	SomMot	28	1	95	125
