	community	roi	community_id	roi_origindex	roi_index(on17networkmask)
1	Vis	3	0	3	1
2	Vis	5	0	5	2
3	Vis	6	0	6	3
4	Vis	8	0	8	4
5	Vis	11	0	11	5
6	Vis	13	0	13	6
7	Vis	14	0	14	7
8	Vis	15	0	15	8
9	Vis	18	0	18	9
10	Vis	19	0	19	10
11	Vis	22	0	22	11
12	Vis	4	0	4	12
13	Vis	9	0	9	13
14	Vis	10	0	10	14
15	Vis	12	0	12	15
16	Vis	16	0	16	16
17	Vis	17	0	17	17
18	Vis	20	0	20	18
19	Vis	21	0	21	19
20	Vis	23	0	23	20
21	SomMot	14	1	38	21
22	SomMot	15	1	39	22
23	SomMot	16	1	40	23
24	SomMot	17	1	41	24
25	SomMot	18	1	42	25
26	SomMot	19	1	43	26
27	SomMot	20	1	44	27
28	SomMot	22	1	46	28
29	SomMot	23	1	47	29
30	SomMot	24	1	48	30
31	SomMot	25	1	49	31
32	SomMot	26	1	50	32
33	SomMot	27	1	51	33
34	SomMot	28	1	52	34
35	SomMot	29	1	53	35
36	SomMot	1	1	25	36
37	SomMot	2	1	26	37
38	SomMot	3	1	27	38
39	SomMot	4	1	28	39
40	SomMot	5	1	29	40
41	SomMot	6	1	30	41
42	SomMot	7	1	31	42
43	SomMot	8	1	32	43
44	SomMot	9	1	33	44
45	SomMot	10	1	34	45
46	SomMot	12	1	36	46
47	SomMot	13	1	37	47
48	Vis	1	0	1	48
49	DorsAttn	Post_1	2	54	49
50	DorsAttn	Post_2	2	55	50
51	DorsAttn	Post_4	2	57	51
52	Vis	24	0	24	52
53	DorsAttn	Post_5	2	58	53
54	DorsAttn	Post_10	2	63	54
55	DorsAttn	Post_11	2	64	55
56	DorsAttn	Post_3	2	56	56
57	SomMot	11	1	35	57
58	DorsAttn	Post_6	2	59	58
59	DorsAttn	Post_8	2	61	59
60	SomMot	21	1	45	60
61	DorsAttn	Post_12	2	65	61
62	DorsAttn	FEF_2	2	67	62
63	DorsAttn	FEF_3	2	68	63
64	SalVentAttn	ParOper_1	3	70	64
65	SalVentAttn	ParOper_2	3	71	65
66	SalVentAttn	FrOper_1	3	74	66
67	SalVentAttn	FrOper_3	3	76	67
68	SalVentAttn	FrOper_4	3	77	68
69	SalVentAttn	FrOper_6	3	79	69
70	SalVentAttn	Med_2	3	83	70
71	SalVentAttn	Med_3	3	84	71
72	SalVentAttn	Med_1	3	82	72
73	SalVentAttn	Med_4	3	85	73
74	SalVentAttn	ParOper_3	3	72	74
75	SalVentAttn	PFCl_1	3	81	75
76	Cont	PFCl_6	5	106	76
77	SalVentAttn	FrOper_2	3	75	77
